Aircraft,Flight_Type,Origin    ,Destination,Departure_Date,Departure_Time,Arrival_Date,Arrival_Time,Estimated ArrivalTime,RealArrivalTime,EA_Time_Minutes,RA_Time_Minutes,Delay_Time
OTC7204,A320,Tongren Daxing (TEN / ZUTR),Wuxi (WUX / ZSWX),08.03.2024,07:05PM,08.03.2024,08:40PM,0 days 01:35:00,1h 58m,95,118,23
QDA6074,A320,Nanjing Lukou Int'l (NKG / ZSNJ),Shenyang Taoxian Int'l (SHE / ZYTX),08.03.2024,07:05PM,08.03.2024,08:54PM,0 days 01:53:00,2h 34m,113,154,41
QDA9901,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Incheon Int'l (ICN / RKSI),08.03.2024,07:05PM,08.03.2024,09:08PM,0 days 01:04:00,1h 45m,64,105,41
SJV816,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Minangkabau Int'l (replaced Tabing) (PDG / WIEE),08.03.2024,06:06PM,08.03.2024,07:31PM,0 days 01:25:00,2h 00m,85,120,35
TGW124,A320,Singapore Changi (SIN / WSSS),Changsha Huanghua Int'l (CSX / ZGHA),08.03.2024,07:06PM,08.03.2024,11:31PM,0 days 04:25:00,1h 33m,265,93,-172
AAL835,A320,Tampa Intl (KTPA),Philadelphia Intl (KPHL),08.03.2024,07:10AM,08.03.2024,09:16AM,0 days 02:06:00,2h 26m,126,146,20
AAY2828,A320,Orlando Sanford Intl (KSFB),The Eastern Iowa (KCID),08.03.2024,07:08AM,08.03.2024,09:01AM,0 days 02:37:00,2h 57m,157,177,20
AAY3150,A320,Bishop Intl (KFNT),Punta Gorda (KPGD),08.03.2024,07:09AM,08.03.2024,10:01AM,0 days 02:35:00,3h 10m,155,190,35
AAY851,A320,Punta Gorda (KPGD),Niagara Falls Intl (KIAG),08.03.2024,07:10AM,08.03.2024,09:41AM,0 days 02:31:00,2h 37m,151,157,6
AFR1747,A320,Malaga (AGP / LEMG),Charles de Gaulle/Roissy (CDG / LFPG),08.03.2024,01:09PM,08.03.2024,03:18PM,0 days 02:20:00,2h 27m,140,147,7
ARE4011,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),08.03.2024,07:09AM,08.03.2024,07:42AM,0 days 00:33:00,0h 45m,33,45,12
AVA9832,A320,El Dorado Int'l (BOG / SKBO),Los Garzones (MTR / SKMR),08.03.2024,07:09AM,08.03.2024,08:16AM,0 days 01:07:00,1h 24m,67,84,17
AXM6323,A320,Langkawi Int'l (LGK / WMKL),Kuala Lumpur Int'l (KUL / WMKK),08.03.2024,08:10PM,08.03.2024,09:05PM,0 days 00:55:00,0h 55m,55,55,0
CGZ7264,A320,Wuhan Tianhe (WUH / ZHHH),Xingyi Wanfenglin Airport (ACX / ZUYI),08.03.2024,08:10PM,08.03.2024,10:10PM,0 days 02:00:00,2h 06m,120,126,6
CQH6538,A320,Fukuoka (FUK / RJFF),Shanghai Pudong Int'l (PVG / ZSPD),08.03.2024,09:09PM,08.03.2024,09:46PM,0 days 01:37:00,2h 22m,97,142,45
CQH7550,A320,Shenyang Taoxian Int'l (SHE / ZYTX),Ningbo Lishe Int'l (NGB / ZSNB),08.03.2024,08:09PM,08.03.2024,10:26PM,0 days 02:19:00,2h 25m,139,145,6
CSN5131,A320,Changsha Huanghua Int'l (CSX / ZGHA),Quanzhou Jinjiang (JJN / ZSQZ),08.03.2024,08:08PM,08.03.2024,09:22PM,0 days 01:15:00,1h 27m,75,87,12
CSZ9215,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Xi'an Xianyang Int'l (XIY / ZLXY),08.03.2024,08:08PM,08.03.2024,10:27PM,0 days 02:20:00,2h 29m,140,149,9
CTV84,A320,Halim Perdanakusuma Int'l (HLP / WIHH),Sultan Mahmud Badaruddin II (PLM / WIPP),08.03.2024,07:08PM,08.03.2024,07:39PM,0 days 00:49:00,1h 15m,49,75,26
EJU7980,A320,Menara Int'l (RAK / GMMX),Amsterdam Schiphol (AMS / EHAM),08.03.2024,01:08PM,08.03.2024,04:24PM,0 days 03:06:00,3h 31m,186,211,25
EWG50,A320,Cologne Bonn (CGN / EDDK),Berlin-Brandenburg (BER / EDDB),08.03.2024,01:09PM,08.03.2024,02:12PM,0 days 01:03:00,1h 13m,63,73,9.99999999999999
EZY1371,A320,Geneva Cointrin Int'l (GVA / LSGG),Valencia (VLC / LEVC),08.03.2024,01:09PM,08.03.2024,02:34PM,0 days 01:25:00,1h 44m,85,104,19
EZY330,A320,Belfast Int'l (BFS / EGAA),Edinburgh (EDI / EGPH),08.03.2024,12:08PM,08.03.2024,12:31PM,0 days 00:21:00,0h 52m,21,52,31
EZY8697,A320,London Gatwick (LGW / EGKK),Innsbruck (Kranebitten) (INN / LOWI),08.03.2024,12:09PM,08.03.2024,02:31PM,0 days 01:22:00,1h 45m,82,105,23
FLI453,A320,Copenhagen (CPH / EKCH),Vagar (FAE / EKVG),08.03.2024,01:08PM,08.03.2024,02:05PM,0 days 01:55:00,2h 30m,115,150,35
GLG1688,A320,Mariscal Sucre Int'l (UIO / SEQM),Seymour (GPS / SEGS),08.03.2024,07:09AM,08.03.2024,08:13AM,0 days 02:04:00,2h 35m,124,155,31
GXA3139,A320,Miami Intl (KMIA),Jose Marti Int'l (HAV / MUHA),08.03.2024,07:08AM,08.03.2024,07:55AM,0 days 00:47:00,0h 47m,47,47,0
QTR1072,A320,Hamad Int'l (DOH / OTHH),Kuwait Int'l (KWI / OKKK),08.03.2024,03:11PM,08.03.2024,04:21PM,0 days 01:10:00,1h 22m,70,82,12
SJV191,A320,Kuala Lumpur Int'l (KUL / WMKK),Sultan Syarif Qasim II Int'l (Simpang Tiga) (PKU / WIBB),08.03.2024,08:08PM,08.03.2024,07:43PM,0 days 00:35:00,0h 35m,35,35,0
TAP1902,A320,Faro (FAO / LPFR),General Humberto Delgado Airport (LIS / LPPT),08.03.2024,12:09PM,08.03.2024,12:53PM,0 days 00:44:00,0h 59m,44,59,15
THA211,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Phuket Int'l (HKT / VTSP),08.03.2024,07:09PM,08.03.2024,08:33PM,0 days 01:24:00,1h 30m,84,90,6
THY402,A320,Pulkovo (LED / ULLI),Istanbul Airport (IST / LTFM),08.03.2024,03:09PM,08.03.2024,07:00PM,0 days 03:51:00,4h 16m,231,256,25
UAL1035,A320,Reagan National (KDCA),Chicago O'Hare Intl (KORD),08.03.2024,07:10AM,08.03.2024,07:55AM,0 days 01:50:00,2h 08m,110,128,18
VIV1057,A320,Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Lic. Benito Juarez Int'l (MEX / MMMX),08.03.2024,06:10AM,08.03.2024,07:15AM,0 days 01:05:00,1h 15m,65,75,9.99999999999999
VIV4162,A320,General Mariano Escobedo Int'l (MTY / MMMY),General Heriberto Jara Int'l (VER / MMVR),08.03.2024,06:10AM,08.03.2024,07:25AM,0 days 01:15:00,1h 30m,75,90,15
VLG8722,A320,Barcelona Int'l (BCN / LEBL),Dublin Int'l (DUB / EIDW),08.03.2024,01:10PM,08.03.2024,02:38PM,0 days 02:28:00,2h 48m,148,168,20
VTI563,A320,Chatrapati Shivaji Int'l (BOM / VABB),Jaipur (Sanganer) (JAI / VIJP),08.03.2024,05:38PM,08.03.2024,07:13PM,0 days 01:35:00,2h 04m,95,124,29
AAY1191,A320,Bismarck Muni (KBIS),Orlando Sanford Intl (KSFB),09.03.2024,02:11PM,09.03.2024,06:22PM,0 days 03:11:00,4h 35m,191,275,84
AFR1274,A320,Charles de Gaulle/Roissy (CDG / LFPG),"Oslo, Gardermoen (OSL / ENGM)",09.03.2024,09:09PM,09.03.2024,11:02PM,0 days 01:55:00,2h 10m,115,130,15
ANZ413,A320,Auckland (AKL / NZAA),Wellington Int'l (WLG / NZWN),10.03.2024,09:07AM,10.03.2024,10:02AM,0 days 00:50:00,1h 12m,50,72,22
ARE4062,A320,Alfonso Bonilla Aragon Int'l (CLO / SKCL),El Dorado Int'l (BOG / SKBO),09.03.2024,03:06PM,09.03.2024,03:42PM,0 days 00:36:00,0h 46m,36,46,10
ARE4265,A320,Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),El Dorado Int'l (BOG / SKBO),09.03.2024,03:11PM,09.03.2024,04:39PM,0 days 01:37:00,1h 38m,97,98,1
AUA327,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Keflavik Int'l (KEF / BIKF),09.03.2024,09:09PM,10.03.2024,12:14AM,0 days 04:05:00,4h 30m,245,270,25
AVA9397,A320,Los Garzones (MTR / SKMR),El Dorado Int'l (BOG / SKBO),09.03.2024,03:07PM,09.03.2024,04:03PM,0 days 00:56:00,1h 26m,56,86,30
AVA9714,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),09.03.2024,03:09PM,09.03.2024,03:57PM,0 days 00:47:00,1h 09m,47,69,22
AZU4816,A320,Marechal Cunha Machado Int'l (SLZ / SBSL),Viracopos Int'l (VCP / SBKP),09.03.2024,05:07PM,09.03.2024,08:13PM,0 days 03:02:00,3h 26m,182,206,24
CEB279,A320,Manila Int'l (MNL / RPLL),Ngurah Rai/Bali Intl (DPS / WADD),10.03.2024,04:10AM,10.03.2024,07:55AM,0 days 03:45:00,3h 40m,225,220,-5
CES2804,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Nanjing Lukou Int'l (NKG / ZSNJ),10.03.2024,03:07AM,10.03.2024,07:20AM,0 days 03:26:00,4h 05m,206,245,39
EIN875,A320,Tenerife South (Reina Sofia) (TFS / GCTS),Cork Int'l (ORK / EICK),09.03.2024,08:06PM,09.03.2024,11:41PM,0 days 03:39:00,3h 58m,219,238,19
EJU7619,A320,General Humberto Delgado Airport (LIS / LPPT),Nantes Atlantique (NTE / LFRS),09.03.2024,08:07PM,09.03.2024,10:34PM,0 days 01:27:00,1h 51m,87,111,24
ETD372,A320,Bahrain Int'l (BAH / OBBI),Abu Dhabi Int'l (AUH / OMAA),09.03.2024,11:08PM,10.03.2024,12:59AM,0 days 00:52:00,1h 09m,52,69,17
FIN503,A320,General Humberto Delgado Airport (LIS / LPPT),London Heathrow (LHR / EGLL),09.03.2024,08:10PM,09.03.2024,10:30PM,0 days 02:20:00,2h 20m,140,140,0
FJL743,A320,Sharjah Int'l (SHJ / OMSJ),Islamabad International Airport (ISB / OPIS),10.03.2024,12:09AM,10.03.2024,03:44AM,0 days 02:35:00,2h 45m,155,165,10
IBS3733,A320,Lyon (LYS / LFLL),Adolfo Suárez Madrid-Barajas (MAD / LEMD),09.03.2024,09:10PM,09.03.2024,10:40PM,0 days 01:30:00,1h 40m,90,100,10
ISR728,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Ben Gurion Int'l (TLV / LLBG),09.03.2024,09:06PM,10.03.2024,01:00AM,0 days 02:50:00,3h 04m,170,184,14
JAP7780,A320,Jorge Chávez Int'l (LIM / SPJC),,09.03.2024,03:09PM,,,,0h 07m,,7,
JBU1284,A320,Orlando Intl (KMCO),John F Kennedy Intl (KJFK),09.03.2024,03:10PM,09.03.2024,05:02PM,0 days 01:53:00,2h 45m,113,165,52
JBU18,A320,Fort Lauderdale Intl (KFLL),Jacksonville Intl (KJAX),09.03.2024,03:07PM,09.03.2024,03:49PM,0 days 00:59:00,1h 18m,59,78,19
JBU953,A320,John F Kennedy Intl (KJFK),Palm Beach Intl (KPBI),09.03.2024,03:09PM,09.03.2024,05:38PM,0 days 02:29:00,4h 42m,149,282,133
JST401,A320,Gold Coast (OOL / YBCG),Sydney (SYD / YSSY),10.03.2024,06:08AM,10.03.2024,08:14AM,0 days 00:50:00,1h 16m,50,76,26
LRC698,A320,El Dorado Int'l (BOG / SKBO),Juan Santamaria Int'l (SJO / MROC),09.03.2024,03:10PM,09.03.2024,04:10PM,0 days 02:00:00,2h 52m,120,172,52
MSC2932,A320,Hurghada (HRG / HEGN),Hanover/Langenhagen Int'l (HAJ / EDDV),09.03.2024,10:10PM,10.03.2024,02:00AM,0 days 04:50:00,4h 50m,290,290,0
NIA143,A320,Cairo Int'l (CAI / HECA),Abha Regional (AHB / OEAB),09.03.2024,10:09PM,10.03.2024,01:29AM,0 days 02:20:00,2h 20m,140,140,0
PGT2264,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Milas-Bodrum (BJV / LTFE),09.03.2024,11:11PM,10.03.2024,12:11AM,0 days 01:00:00,1h 05m,60,65,5
PGT281,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Rinas Mother Teresa (TIA / LATI),09.03.2024,11:07PM,09.03.2024,10:42PM,0 days 01:35:00,2h 13m,95,133,38
RJA672,A320,Queen Alia Int'l (AMM / OJAI),Bahrain Int'l (BAH / OBBI),09.03.2024,11:09PM,10.03.2024,01:19AM,0 days 02:10:00,2h 20m,130,140,9.99999999999997
TAM3069,A320,Afonso Pena Int'l (CWB / SBCT),São Paulo-Congonhas (CGH / SBSP),09.03.2024,05:07PM,09.03.2024,05:52PM,0 days 00:45:00,0h 45m,45,45,0
TVJ3820,A320,Suvarnabhumi Bangkok Int'l (BKK / VTBS),Taiwan Taoyuan Int'l (TPE / RCTP),10.03.2024,03:11AM,10.03.2024,07:31AM,0 days 03:20:00,3h 20m,200,200,0
UAL1555,A320,Lic. Gustavo Diaz Ordaz Int'l (PVR / MMPR),Chicago O'Hare Intl (KORD),09.03.2024,02:09PM,09.03.2024,05:48PM,0 days 03:39:00,3h 58m,219,238,19
UAL1655,A320,Calgary Int'l (CYYC),Chicago O'Hare Intl (KORD),09.03.2024,01:07PM,09.03.2024,05:08PM,0 days 03:01:00,3h 21m,181,201,20
VLG1290,A320,Barcelona Int'l (BCN / LEBL),La Coruna (LCG / LECO),09.03.2024,09:11PM,09.03.2024,10:41PM,0 days 01:30:00,1h 30m,90,90,0
VLG3000,A320,Barcelona Int'l (BCN / LEBL),Gran Canaria Int'l (LPA / GCLP),09.03.2024,09:07PM,09.03.2024,11:10PM,0 days 03:05:00,3h 27m,185,207,22
VOE2659,A320,Es Senia (ORN / DAOO),Marseille Provence (MRS / LFML),09.03.2024,09:07PM,09.03.2024,10:30PM,0 days 01:25:00,1h 33m,85,93,8
VOI310,A320,Cancun Int'l (CUN / MMUN),Juan Santamaria Int'l (SJO / MROC),09.03.2024,03:08PM,09.03.2024,03:54PM,0 days 01:53:00,2h 09m,113,129,16
VOI843,A320,is Aeropuerto Nacional de Colima-Lic. Miguel de la Madrid (CLQ / MMIA),General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),09.03.2024,02:06PM,09.03.2024,02:51PM,0 days 02:46:00,3h 04m,166,184,18
VOI877,A320,General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),Lic. Benito Juarez Int'l (MEX / MMMX),09.03.2024,12:08PM,09.03.2024,05:05PM,0 days 02:57:00,3h 21m,177,201,24
VTI236,A320,King Abdulaziz Int'l (JED / OEJN),Chatrapati Shivaji Int'l (BOM / VABB),09.03.2024,11:11PM,10.03.2024,06:51AM,0 days 05:10:00,5h 43m,310,343,33
AAY2532,A320,Chicago/Rockford Intl (KRFD),Punta Gorda (KPGD),09.03.2024,03:01PM,09.03.2024,06:57PM,0 days 02:35:00,3h 13m,155,193,38
AAY3027,A320,Clearwater Intl (KPIE),McGhee Tyson (KTYS),09.03.2024,04:01PM,09.03.2024,05:20PM,0 days 01:21:00,1h 25m,81,85,4
AEE6005,A320,"Thessaloniki Int'l, Makedonia (SKG / LGTS)",,09.03.2024,11:00PM,,,,0h 12m,,12,
ANZ416,A320,Wellington Int'l (WLG / NZWN),Auckland (AKL / NZAA),10.03.2024,10:01AM,10.03.2024,10:54AM,0 days 00:45:00,1h 09m,45,69,24
ARE4372,A320,El Dorado Int'l (BOG / SKBO),Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),09.03.2024,04:02PM,09.03.2024,06:01PM,0 days 01:50:00,2h 09m,110,129,19
ARE4407,A320,Orlando Intl (KMCO),El Dorado Int'l (BOG / SKBO),09.03.2024,04:02PM,09.03.2024,07:53PM,0 days 03:32:00,4h 06m,212,246,34
AZU4275,A320,Campo Grande Int'l (CGR / SBCG),Marechal Rondon (CGB / SBCY),09.03.2024,05:01PM,09.03.2024,05:55PM,0 days 00:41:00,1h 16m,41,76,35
BIX2517,A320,Gran Canaria Int'l (LPA / GCLP),,09.03.2024,09:01PM,,,,0h 11m,,11,
CEB619,A320,Manila Int'l (MNL / RPLL),Bohol-Panglao (TAG / RPSP),10.03.2024,05:00AM,10.03.2024,06:30AM,0 days 01:25:00,1h 40m,85,100,15
CES212,A320,Manila Int'l (MNL / RPLL),Shanghai Pudong Int'l (PVG / ZSPD),10.03.2024,05:01AM,10.03.2024,07:40AM,0 days 02:43:00,3h 05m,163,185,22
DAL1078,A320,Valley Intl (KHRL),Minneapolis/St Paul Intl (KMSP),09.03.2024,03:02PM,09.03.2024,05:42PM,0 days 02:41:00,2h 55m,161,175,14
EIN529,A320,Charles de Gaulle/Roissy (CDG / LFPG),Dublin Int'l (DUB / EIDW),09.03.2024,10:01PM,09.03.2024,10:05PM,0 days 01:14:00,1h 34m,74,94,20
EIN799,A320,İzmir Adnan Menderes Int'l (ADB / LTBJ),Dublin Int'l (DUB / EIDW),10.03.2024,12:00AM,10.03.2024,01:15AM,0 days 04:15:00,4h 34m,255,274,19
EZY3020,A320,Arrecife (Lanzarote) (ACE / GCRR),Belfast Int'l (BFS / EGAA),09.03.2024,09:01PM,10.03.2024,12:55AM,0 days 03:56:00,4h 14m,236,254,18
KAC344,A320,Chennai Int'l (MAA / VOMM),Kuwait Int'l (KWI / OKKK),10.03.2024,02:30AM,10.03.2024,05:30AM,0 days 05:20:00,5h 40m,320,340,20
LAN13,A320,Comodoro Arturo Merino Benitez Int'l (SCL / SCEL),,09.03.2024,06:01PM,,,,0h 12m,,12,
N230AC,A320,Los Garzones (MTR / SKMR),,09.03.2024,04:00PM,,,,0h 11m,,11,
SDM6024,A320,Vnukovo (VKO / UUWW),Pulkovo (LED / ULLI),10.03.2024,12:00AM,10.03.2024,12:55AM,0 days 01:00:00,1h 05m,60,65,5
UAL1009,A320,Denver Intl (KDEN),Nashville Intl (KBNA),09.03.2024,02:02PM,09.03.2024,05:16PM,0 days 02:01:00,2h 27m,121,147,26
VIV4227,A320,General Rodolfo Sanchez Taboada Int'l (MXL / MMML),General Mariano Escobedo Int'l (MTY / MMMY),09.03.2024,01:02PM,09.03.2024,04:55PM,0 days 01:59:00,2h 03m,119,123,4
VIV9387,A320,General Lucio Blanco Int'l (REX / MMRX),Mexico City Santa Lucía Airport (NLU / MMSM),09.03.2024,03:00PM,09.03.2024,04:15PM,0 days 01:15:00,1h 15m,75,75,0
VLG3519,A320,Barcelona Int'l (BCN / LEBL),Ibiza (IBZ / LEIB),09.03.2024,10:02PM,09.03.2024,10:45PM,0 days 00:36:00,0h 53m,36,53,17
VLG3953,A320,Valencia (VLC / LEVC),Palma de Mallorca (or Son Sant Joan) (PMI / LEPA),09.03.2024,10:00PM,09.03.2024,10:46PM,0 days 00:33:00,0h 55m,33,55,22
VLG6575,A320,Asturias (OVD / LEAS),Gran Canaria Int'l (LPA / GCLP),09.03.2024,10:00PM,09.03.2024,11:35PM,0 days 02:35:00,2h 45m,155,165,10
AAY2532,A320,Chicago/Rockford Intl (KRFD),Punta Gorda (KPGD),09.03.2024,03:01PM,09.03.2024,06:57PM,0 days 02:35:00,3h 13m,155,193,38
ABQ170,A320,Jinnah Int'l (KHI / OPKC),King Abdulaziz Int'l (JED / OEJN),10.03.2024,03:06AM,10.03.2024,06:01AM,0 days 04:55:00,5h 05m,295,305,10
ABY518,A320,Sharjah Int'l (SHJ / OMSJ),Shahjalal International Airport (DAC / VGHS),10.03.2024,02:03AM,10.03.2024,08:08AM,0 days 04:05:00,4h 15m,245,255,9.99999999999997
ABY562,A320,Sharjah Int'l (SHJ / OMSJ),Faisalabad Int'l (LYP / OPFA),10.03.2024,02:06AM,10.03.2024,05:31AM,0 days 02:25:00,2h 35m,145,155,10
AVA9399,A320,Antonio Narino (PSO / SKPS),El Dorado Int'l (BOG / SKBO),09.03.2024,05:06PM,09.03.2024,05:55PM,0 days 00:16:00,1h 17m,16,77,61
AVA9780,A320,El Dorado Int'l (BOG / SKBO),Gustavo Rojas Pinilla Int'l (Sesquicentenario) (ADZ / SKSP),09.03.2024,05:05PM,09.03.2024,06:33PM,0 days 01:27:00,2h 13m,87,133,46
AWQ200,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Kuala Lumpur Int'l (KUL / WMKK),10.03.2024,05:03AM,10.03.2024,07:43AM,0 days 01:40:00,1h 40m,100,100,0
AXM5135,A320,Kota Kinabalu Int'l (BKI / WBKK),Kuala Lumpur Int'l (KUL / WMKK),10.03.2024,06:03AM,10.03.2024,08:20AM,0 days 02:10:00,2h 27m,130,147,17
BTK6672,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),APT Pranoto (AAP / WALS),10.03.2024,05:05AM,10.03.2024,08:05AM,0 days 02:00:00,2h 10m,120,130,10
CEB373,A320,Manila Int'l (MNL / RPLL),Roxas (RXS / RPVR),10.03.2024,06:05AM,10.03.2024,07:00AM,0 days 00:55:00,1h 00m,55,60,5
CEB893,A320,Manila Int'l (MNL / RPLL),Caticlan (Godofredo P. Ramos) (MPH / RPVE),10.03.2024,06:03AM,10.03.2024,06:40AM,0 days 00:50:00,0h 47m,50,47,-3
EZY7604,A320,Charles de Gaulle/Roissy (CDG / LFPG),General Humberto Delgado Airport (LIS / LPPT),09.03.2024,11:03PM,10.03.2024,12:10AM,0 days 01:53:00,2h 27m,113,147,34
GLG1639,A320,Jose Joaquin de Olmedo Int'l (GYE / SEGU),,09.03.2024,05:06PM,,,,0h 04m,,4,
JAP7294,A320,Jorge Chávez Int'l (LIM / SPJC),,09.03.2024,05:05PM,,,,0h 05m,,5,
JBU1825,A320,Fort Lauderdale Intl (KFLL),Jorge Chávez Int'l (LIM / SPJC),09.03.2024,05:03PM,09.03.2024,10:21PM,0 days 05:25:00,2h 48m,325,168,-157
JBU1968,A320,Punta Cana Int'l (PUJ / MDPC),John F Kennedy Intl (KJFK),09.03.2024,06:07PM,09.03.2024,08:39PM,0 days 03:32:00,3h 51m,212,231,19
JST201,A320,Sydney (SYD / YSSY),Auckland (AKL / NZAA),10.03.2024,09:06AM,10.03.2024,01:58PM,0 days 02:52:00,3h 16m,172,196,24
JST471,A320,Newcastle-Williamtown Airport / RAAF (NTL / YWLM),Melbourne Tullamarine (MEL / YMML),10.03.2024,09:04AM,10.03.2024,10:25AM,0 days 01:01:00,1h 31m,61,91,30
JZR335,A320,Kuwait Int'l (KWI / OKKK),Domodedovo Int'l (DME / UUDD),10.03.2024,01:07AM,10.03.2024,05:42AM,0 days 04:35:00,4h 43m,275,283,8
LPE2265,A320,Padre Jose de Aldamiz Int'l (PEM / SPTU),Jorge Chávez Int'l (LIM / SPJC),09.03.2024,05:05PM,09.03.2024,06:35PM,0 days 01:15:00,1h 40m,75,100,25
RZO175,A320,Porto / Oporto (OPO / LPPR),Ponta Delgada Joao Paulo II (PDL / LPPD),09.03.2024,10:04PM,09.03.2024,11:15PM,0 days 02:10:00,2h 30m,130,150,20
VOI1035,A320,Mexico City Santa Lucía Airport (NLU / MMSM),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),09.03.2024,04:06PM,09.03.2024,05:15PM,0 days 01:09:00,1h 19m,69,79,10
VOI499,A320,Del Bajio Guanajuato Int'l (BJX / MMLO),General Abelardo L. Rodriguez Int'l (TIJ / MMTJ),09.03.2024,04:04PM,09.03.2024,04:54PM,0 days 02:47:00,3h 11m,167,191,24
VOI924,A320,Lic. Jesus Teran Peredo Int'l (AGU / MMAS),Los Angeles Intl (KLAX),09.03.2024,04:05PM,09.03.2024,04:45PM,0 days 02:40:00,3h 00m,160,180,20
VOI967,A320,Harry Reid Intl (KLAS),Lic. Benito Juarez Int'l (MEX / MMMX),09.03.2024,02:04PM,09.03.2024,07:25PM,0 days 03:17:00,3h 53m,197,233,36
