,Aircraft,Flight Type,Origin,Destination,Departure Time,Arrival Time,Estimated Arrival Time,RealArrivalTime
0,VLG6210,A320,Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Malaga (AGP / LEMG),Fri 03:54PM CET,Fri 06:19PM CET,02:25:00,2h 37m
1,JBU2795,A320,Fort Lauderdale Intl (KFLL),Cancun Int'l (CUN / MMUN),Fri 10:54AM EDT,Fri 11:47AM EST,01:53:00,2h 17m
2,AVA8562,A320,Antonio Narino (PSO / SKPS),,,,,
3,ARE4015,A320,Jose Maria Cordova Int'l (MDE / SKRG),El Dorado Int'l (BOG / SKBO),Fri 09:54AM -05,Fri 10:27AM -05,00:33:00,0h 49m
4,UAL1383,A320,Houston Bush Int'ctl (KIAH),John Wayne (KSNA),Fri 09:54AM CDT,Fri 11:13AM PDT,03:19:00,3h 33m
5,CCA8233,A320,Wuhan Tianhe (WUH / ZHHH),,,,,
6,BEL3738,A320,Malaga (AGP / LEMG),Brussels (BRU / EBBR),Fri 03:54PM CET,Fri 06:22PM CET,02:28:00,3h 18m
7,CSZ9994,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:53PM CST,Sat 02:04AM CST,03:02:00,2h 42m
8,EZY2151,A320,Manchester (MAN / EGCC),Istanbul Airport (IST / LTFM),Fri 02:53PM GMT,Fri 09:02PM +03,03:09:00,3h 2m
9,LDA9754,A320,Banja Luka Int'l (BNX / LQBK),Vienna Int'l (Schwechat) (VIE / LOWW),Fri 03:53PM CET,Fri 04:33PM CET,00:40:00,1h 18m
10,PGT1005,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Dusseldorf Int'l (DUS / EDDL),Fri 05:53PM +03,Fri 07:03PM CET,03:10:00,3h 48m
11,EJU4301,A320,Lyon (LYS / LFLL),La Rochelle (LRH / LFBH),Fri 03:53PM CET,Fri 04:42PM CET,00:49:00,1h 11m
12,IBE3279,A320,Budapest Ferenc Liszt International Airport (BUD / LHBP),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:53PM CET,Fri 07:03PM CET,03:10:00,3h 53m
13,CSZ9935,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Changzhou Benniu (CZX / ZSCG),Fri 10:53PM CST,Sat 12:40AM CST,01:49:00,2h 32m
14,UAL2330,A320,Pensacola Intl (KPNS),Houston Bush Int'ctl (KIAH),Fri 09:53AM CDT,Fri 11:22AM CDT,01:30:00,1h 12m
15,AAY2466,A320,Albany Intl (KALB),Punta Gorda (KPGD),Fri 10:53AM EDT,Fri 01:40PM EDT,02:47:00,3h 37m
16,BAW890,A320,London Heathrow (LHR / EGLL),,,,,
17,AIQ3015,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 09:53PM +07,Fri 10:58PM +07,01:05:00,0h 58m
18,KNE46,A320,King Abdulaziz Int'l (JED / OEJN),King Khalid Int'l (RUH / OERK),Fri 05:53PM +03,Fri 07:08PM +03,01:15:00,1h 41m
19,UAL224,A320,Chicago O'Hare Intl (KORD),Tucson Intl (KTUS),Fri 09:53AM CDT,Fri 11:39AM MST,03:50:00,3h 42m
20,VLG6367,A320,Santiago de Compostela (SCQ / LEST),San Pablo (SVQ / LEZL),Fri 03:53PM CET,Fri 04:57PM CET,01:04:00,0h 44m
21,DKH1754,A320,Dayong (DYG / ZGDY),Nanjing Lukou Int'l (NKG / ZSNJ),Fri 10:53PM CST,Sat 12:08AM CST,01:15:00,1h 25m
22,EZY8633,A320,London Gatwick (LGW / EGKK),Hamburg (HAM / EDDH),Fri 02:52PM GMT,Fri 04:49PM CET,00:57:00,0h 56m
23,AUA513,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Malpensa Int'l (MXP / LIMC),Fri 03:52PM CET,Fri 04:57PM CET,01:05:00,0h 59m
24,EZS1031,A320,Basle-Mulhouse (EAP / LFSB),Valencia (VLC / LEVC),Fri 03:52PM CET,Fri 05:32PM CET,01:40:00,1h 56m
25,AWQ555,A320,Kuala Lumpur Int'l (KUL / WMKK),Ngurah Rai/Bali Intl (DPS / WADD),Fri 10:52PM +08,Sat 01:32AM WITA,02:40:00,2h 43m
26,EZY1557,A320,Geneva Cointrin Int'l (GVA / LSGG),,,,,
27,LDA8792,A320,Beauvais Tille (BVA / LFOB),Zagreb Pleso (ZAG / LDZA),Fri 03:52PM CET,Fri 05:32PM CET,01:40:00,1h 29m
28,KNE788,A320,King Khalid Int'l (RUH / OERK),Prince Mohammad Bin Abdulaziz (MED / OEMA),Fri 05:52PM +03,Fri 07:12PM +03,01:20:00,1h 57m
29,TGW581,A320,Visakhapatnam (VTZ / VOVZ),Singapore Changi (SIN / WSSS),Fri 08:22PM IST,Sat 02:35AM +08,03:55:00,4h 20m
30,ARE4178,A320,El Dorado Int'l (BOG / SKBO),Palonegro (BGA / SKBG),Fri 09:52AM -05,Fri 10:39AM -05,00:47:00,0h 38m
31,QTR1111,A320,Bahrain Int'l (BAH / OBBI),Hamad Int'l (DOH / OTHH),Fri 05:52PM +03,Fri 06:29PM +03,00:36:00,1h 24m
32,BAW1312,A320,London Heathrow (LHR / EGLL),Aberdeen (ABZ / EGPD),Fri 02:52PM GMT,Fri 03:45PM GMT,01:04:00,1h 24m
33,GAP2824,A320,Francisco Bangoy Int'l (DVO / RPMD),,,,,
34,CSZ9652,A320,Quanzhou Jinjiang (JJN / ZSQZ),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:52PM CST,Sat 12:05AM CST,01:14:00,1h 8m
35,EJU1683,A320,Nice Cote d'Azur (NCE / LFMN),Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Fri 03:52PM CET,Fri 04:32PM CET,00:40:00,0h 50m
36,LPE2380,A320,Jorge Chávez Int'l (LIM / SPJC),Jorge Newbery (AEP / SABE),Fri 09:52AM -05,Fri 03:52PM -03,04:00:00,4h 22m
37,BAW485,A320,Barcelona Int'l (BCN / LEBL),London Heathrow (LHR / EGLL),Fri 03:52PM CET,Fri 04:31PM GMT,01:37:00,1h 29m
38,VIV3255,A320,Carlos Rovirosa Perez Int'l (VSA / MMVA),Don Miguel Hidalgo y Costilla Int'l (GDL / MMGL),Fri 08:52AM CST,Fri 10:32AM CST,01:39:00,1h 39m
39,ROU1512,A320,Thunder Bay Int'l (Thunder Bay) (CYQT),Toronto Pearson Int'l (CYYZ),Fri 10:52AM EDT,Fri 12:09PM EDT,01:37:00,1h 38m
40,AIC404,A320,Rajkot (HSR / VAHS),Indira Gandhi Int'l (DEL / VIDP),Fri 08:22PM IST,Fri 09:35PM IST,01:20:00,1h 57m
41,VLG8479,A320,Porto / Oporto (OPO / LPPR),Barcelona Int'l (BCN / LEBL),Fri 02:51PM WET,Fri 05:12PM CET,01:25:00,2h 12m
42,IBE3149,A320,Václav Havel Airport (PRG / LKPR),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:51PM CET,Fri 06:45PM CET,02:50:00,3h 10m
43,AIC238,A320,Shahjalal International Airport (DAC / VGHS),Indira Gandhi Int'l (DEL / VIDP),Fri 08:51PM +06,Fri 10:50PM IST,02:25:00,2h 14m
44,AMC625,A320,Linate (LIN / LIML),,Fri 03:51PM CET,,,
45,DLH2100,A320,Munich Int'l (MUC / EDDM),Hanover/Langenhagen Int'l (HAJ / EDDV),Fri 03:51PM CET,Fri 04:35PM CET,00:45:00,1h 19m
46,TAM3783,A320,Guararapes Int'l (Gilberto Freyre Int'l) (REC / SBRF),Presidente Juscelino Kubitschek Int'l (BSB / SBBR),Fri 11:51AM -03,Fri 02:11PM -03,02:20:00,2h 21m
47,CSN6242,A320,Xining Caojiabu (XNN / ZLXN),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:51PM CST,Sat 01:35AM CST,02:44:00,3h 11m
48,ETD387,A320,Seeb Int'l (MCT / OOMS),Abu Dhabi Int'l (AUH / OMAA),Fri 06:51PM +04,Fri 07:21PM +04,00:50:00,0h 51m
49,AUA848,A320,Rinas Mother Teresa (TIA / LATI),Vienna Int'l (Schwechat) (VIE / LOWW),Fri 03:50PM CET,Fri 05:06PM CET,01:11:00,1h 28m
50,5AK5112,A320,El Dorado Int'l (BOG / SKBO),,Fri 09:50AM -05,,,
51,AIQ3013,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Phuket Int'l (HKT / VTSP),Fri 09:50PM +07,Fri 10:55PM +07,01:05:00,1h 25m
52,RYL411,A320,Near Wuzhou, Guangxi,,Fri 10:50PM CST,,
53,NKS2706,A320,Baltimore/Washington Intl (KBWI),Orlando Intl (KMCO),Fri 10:50AM EDT,Fri 12:54PM EDT,01:55:00,2h 34m
54,LAN420,A320,Jorge Newbery (AEP / SABE),,Fri 11:50AM -03,,,
55,TAM3043,A320,Tancredo Neves Int'l (CNF / SBCF),São Paulo-Congonhas (CGH / SBSP),Fri 11:50AM -03,Fri 12:51PM -03,01:01:00,0h 51m
56,WMT3551,A320,Timişoara Traian Vuia Int'l (TSR / LRTR),Orio al Serio Int'l (BGY / LIME),Fri 04:50PM EET,Fri 05:20PM CET,01:30:00,1h 55m
57,AIQ3206,A320,Chiang Rai Int'l (CEI / VTCT),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 09:50PM +07,Fri 10:45PM +07,00:55:00,1h 18m
58,VLG3513,A320,Ibiza (IBZ / LEIB),Barcelona Int'l (BCN / LEBL),Fri 03:50PM CET,Fri 04:10PM CET,00:36:00,0h 42m
59,PGT1865,A320,Ercan Int'l (ECN / LCEN),İzmir Adnan Menderes Int'l (ADB / LTBJ),Fri 04:50PM EET,Fri 06:50PM +03,01:00:00,1h 21m
60,JBU1861,A320,LaGuardia (KLGA),Southwest Florida Intl (KRSW),Fri 10:50AM EDT,Fri 01:18PM EDT,02:31:00,2h 48m
61,VTI575,A320,Bengaluru Int'l (BLR / VOBL),Sardar Vallabhbhai Patel Int'l (Ahmedabad) (AMD / VAAH),Fri 08:20PM IST,Fri 09:50PM IST,01:45:00,1h 39m
62,EZY8710,A320,Menara Int'l (RAK / GMMX),London Gatwick (LGW / EGKK),Fri 02:49PM +00,Fri 05:18PM GMT,02:29:00,3h 15m
63,AAY482,A320,The Eastern Iowa (KCID),Fort Lauderdale Intl (KFLL),Fri 09:49AM CDT,Fri 01:46PM EDT,02:35:00,2h 50m
64,JST671,A320,Darwin Int'l / RAAF (DRW / YPDN),Sydney (SYD / YSSY),Sat 12:19AM ACST,Sat 05:32AM AEDT,03:36:00,3h 57m
65,JAP7224,A320,Jorge Chávez Int'l (LIM / SPJC),,Fri 09:49AM -05,,,
66,TAM3009,A320,Presidente Juscelino Kubitschek Int'l (BSB / SBBR),São Paulo-Congonhas (CGH / SBSP),Fri 11:49AM -03,Fri 01:20PM -03,01:30:00,2h 11m
67,UAL246,A320,Seattle-Tacoma Intl (KSEA),San Francisco Int'l (KSFO),Fri 07:49AM PDT,Fri 09:51AM PDT,02:02:00,2h 15m
68,ITY1792,A320,Palermo Int'l (Punta Raisi Falcone-Borsellino) (PMO / LICJ),Leonardo da Vinci Int'l (Fiumicino Int'l) (FCO / LIRF),Fri 03:49PM CET,Fri 04:55PM CET,01:00:00,0h 58m
69,CTV250,A320,Jakarta-Soekarno-Hatta Int'l (CGK / WIII),Sultan Hasanuddin Int'l (UPG / WAAA),Fri 09:49PM WIB,Sat 12:54AM WITA,02:05:00,2h 2m
70,OTC7120,A320,Changsha Huanghua Int'l (CSX / ZGHA),Kunming Changshui Int'l (KMG / ZPPP),Fri 10:49PM CST,Sat 12:38AM CST,01:51:00,2h 16m
71,IBE3271,A320,Hamburg (HAM / EDDH),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Fri 03:49PM CET,Fri 07:05PM CET,03:05:00,3h 6m
72,CES9923,A320,Xi'an Xianyang Int'l (XIY / ZLXY),Penglai International (YNT / ZSYT),Fri 10:49PM CST,Sat 12:29AM CST,01:46:00,1h 41m
73,CSC6715,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Guangzhou Baiyun Int'l (CAN / ZGGG),Fri 10:49PM CST,Sat 12:46AM CST,01:53:00,2h 25m
74,UEA2214,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Xingyi Wanfenglin Airport (ACX / ZUYI),Fri 10:49PM CST,Sat 12:32AM CST,01:43:00,1h 48m
75,UAL342,A320,Reagan National (KDCA),Chicago O'Hare Intl (KORD),Fri 10:48AM EDT,Fri 11:47AM CDT,01:59:00,1h 49m
76,AAY3206,A320,Phoenix-Mesa Gateway (KIWA),Appleton Intl (KATW),Fri 07:48AM MST,Fri 12:49PM CDT,02:42:00,3h 17m
77,TAM3719,A320,Ministro Victor Konder Int'l (NVT / SBNF),São Paulo-Congonhas (CGH / SBSP),Fri 11:48AM -03,Fri 12:35PM -03,00:45:00,1h 24m
78,Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,
79,AFR1822,A320,Charles de Gaulle/Roissy (CDG / LFPG),Munich Int'l (MUC / EDDM),Fri 03:48PM CET,Fri 05:08PM CET,01:20:00,1h 11m
80,AVA9764,A320,El Dorado Int'l (BOG / SKBO),Simon Bolivar (SMR / SKSM),Fri 09:48AM -05,Fri 10:47AM -05,00:47:00,1h 36m
81,TAM8020,A320,Governor Francisco Gabrielli Int'l (El Plumerillo Int'l) (MDZ / SAME),São Paulo-Guarulhos Int'l (GRU / SBGR),Fri 11:48AM -03,Fri 02:40PM -03,02:54:00,3h 28m
82,EZY1232,A320,Edinburgh (EDI / EGPH),Basle-Mulhouse (EAP / LFSB),Fri 02:48PM GMT,Fri 05:41PM CET,01:53:00,1h 49m
83,AFL1233,A320,Ufa Int'l (UFA / UWUU),Sheremetyevo Int'l (SVO / UUEE),Fri 07:48PM +05,Fri 07:55PM MSK,02:05:00,1h 54m
84,PGT1018,A320,Cologne Bonn (CGN / EDDK),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Fri 03:48PM CET,Fri 08:35PM +03,02:50:00,2h 54m
85,VTI766,A320,Netaji Subhash Chandra Bose Int'l (CCU / VECC),Bengaluru Int'l (BLR / VOBL),Fri 08:18PM IST,Fri 10:22PM IST,02:15:00,2h 18m
86,DAL1729,A320,Orlando Intl (KMCO),Raleigh-Durham Intl (KRDU),Fri 10:48AM EDT,Fri 12:04PM EDT,01:18:00,1h 5m
87,PGT2794,A320,Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Samsun (SZF / LTFH),Fri 05:48PM +03,Fri 06:45PM +03,01:10:00,1h 31m
88,DLH274,A320,Frankfurt Int'l (FRA / EDDF),Linate (LIN / LIML),Fri 03:48PM CET,Fri 04:45PM CET,00:55:00,1h 44m
89,PGT1262,A320,Rotterdam (RTM / EHRD),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Fri 03:48PM CET,Fri 08:53PM +03,03:05:00,3h 15m
90,CSN6226,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Daqing Sartu (DQA / ZYDQ),Fri 10:48PM CST,Sat 12:42AM CST,01:50:00,2h 12m
91,SAS767,A320,Copenhagen (CPH / EKCH),,,,,
92,PGT980,A320,Berlin-Brandenburg (BER / EDDB),Istanbul Sabiha Gokcen Int'l (SAW / LTFJ),Fri 03:48PM CET,Fri 08:10PM +03,02:30:00,3h 0m
93,CES6798,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:39AM CST,02:06:00,2h 25m
94,CSN6207,A320,Harbin Taiping Int'l (HRB / ZYHB),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:37AM CST,01:49:00,1h 46m
95,QDA9876,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Qingdao Jiaodong Int'l (TAO / ZSQD),Fri 10:48PM CST,Fri 11:35PM CST,00:41:00,1h 24m
96,SNG6614,A320,Taiyuan Wusu (TYN / ZBYN),Harbin Taiping Int'l (HRB / ZYHB),Fri 10:48PM CST,Sat 01:06AM CST,02:14:00,3h 1m
97,CJL206,A320,Toronto Pearson Int'l (CYYZ),,,,,
98,CQH6521,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wuxi (WUX / ZSWX),Fri 10:47PM CST,Sat 12:38AM CST,01:53:00,2h 20m
99,SAA357,A320,OR Tambo Int'l (JNB / FAOR),Cape Town Int'l (CPT / FACT),Fri 04:47PM SAST,Fri 06:35PM SAST,01:45:00,2h 4m
100,AIQ3426,A320,Chiang Mai Int'l (CNX / VTCC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 09:47PM +07,Fri 10:45PM +07,01:05:00,1h 5m
101,UAL1567,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Washington Dulles Intl (KIAD),Fri 08:47AM CST,Fri 02:41PM EDT,03:54:00,3h 43m
102,AAL2327,A320,Dallas-Fort Worth Intl (KDFW),Eglin AFB/Destin-Ft Walton Beach (KVPS),Fri 09:47AM CDT,Fri 11:11AM CDT,01:30:00,1h 16m
103,APG288,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Manila Int'l (MNL / RPLL),Fri 09:47PM +07,Sat 01:56AM PST,03:00:00,2h 54m
104,TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),,,,,
105,VTI590,A320,Manohar International Airport (GOX / VOGA),Rajiv Gandhi Int'l (HYD / VOHS),Fri 08:17PM IST,Fri 09:00PM IST,00:55:00,1h 22m
106,GBB124,A320,Cape Town Int'l (CPT / FACT),OR Tambo Int'l (JNB / FAOR),Fri 04:47PM SAST,Fri 05:50PM SAST,01:13:00,0h 56m
107,AFL1214,A320,Sheremetyevo Int'l (SVO / UUEE),Kurumoch (KUF / UWWW),Fri 05:47PM MSK,Fri 08:17PM +04,01:30:00,2h 3m
108,EZY5108,A320,Barcelona Int'l (BCN / LEBL),Berlin-Brandenburg (BER / EDDB),Fri 03:47PM CET,Fri 05:49PM CET,02:11:00,2h 57m
109,CBJ5158,A320,Kunming Changshui Int'l (KMG / ZPPP),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Fri 10:47PM CST,Sat 01:03AM CST,02:16:00,2h 24m
110,AAY354,A320,Orlando Sanford Intl (KSFB),,,,,
111,JBU173,A320,Fort Lauderdale Intl (KFLL),Punta Cana Int'l (PUJ / MDPC),Fri 10:47AM EDT,Fri 12:33PM AST,02:13:00,2h 6m
112,UAL764,A320,Chicago O'Hare Intl (KORD),Calgary Int'l (CYYC),Fri 09:47AM CDT,Fri 12:04PM MDT,03:30:00,3h 33m
113,CES6581,A320,Shanghai Pudong Int'l (PVG / ZSPD),Hefei Xinqiao Airport (HFE / ZSOF),Fri 10:47PM CST,Fri 11:49PM CST,01:01:00,1h 20m
114,CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:47PM CST,Sat 02:30AM +08,03:39:00,4h 26m
115,EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,Fri 03:46PM CET,,,
116,EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),Fri 02:46PM GMT,Fri 03:27PM GMT,00:47:00,0h 27m
117,VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),Fri 03:46PM CET,Fri 05:55PM CET,02:05:00,2h 46m
118,JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),Fri 10:46AM EDT,Fri 01:05PM EST,03:48:00,4h 25m
119,Airborne Airbus A320 (twin-jet) (A320) Aircraft,,,,,,,
120,CES6798,A320,Chengdu Tianfu Int'l (TFU / ZUTF),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:39AM CST,02:06:00,2h 22m
121,CJL206,A320,Toronto Pearson Int'l (CYYZ),Orlando Intl (KMCO),Fri 10:48AM EDT,Fri 01:33PM EDT,02:22:00,2h 11m
122,CSN6207,A320,Harbin Taiping Int'l (HRB / ZYHB),Beijing Daxing International Airport (PKX / ZBAD),Fri 10:48PM CST,Sat 12:37AM CST,01:49:00,1h 50m
123,SNG6614,A320,Taiyuan Wusu (TYN / ZBYN),Harbin Taiping Int'l (HRB / ZYHB),Fri 10:48PM CST,Sat 01:06AM CST,02:14:00,2h 24m
124,QDA9876,A320,Dalian Zhoushuizi Int'l (DLC / ZYTL),Qingdao Jiaodong Int'l (TAO / ZSQD),Fri 10:48PM CST,Fri 11:35PM CST,00:41:00,1h 9m
125,CQH6521,A320,Shenzhen Bao'an Int'l (SZX / ZGSZ),Wuxi (WUX / ZSWX),Fri 10:47PM CST,Sat 12:38AM CST,01:53:00,2h 5m
126,AIQ3426,A320,Chiang Mai Int'l (CNX / VTCC),Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Fri 09:47PM +07,Fri 10:45PM +07,01:05:00,1h 45m
127,SAA357,A320,OR Tambo Int'l (JNB / FAOR),Cape Town Int'l (CPT / FACT),Fri 04:47PM SAST,Fri 06:35PM SAST,01:45:00,1h 41m
128,UAL1567,A320,Lic. Benito Juarez Int'l (MEX / MMMX),Washington Dulles Intl (KIAD),Fri 08:47AM CST,Fri 02:41PM EDT,03:54:00,4h 6m
129,AAL2327,A320,Dallas-Fort Worth Intl (KDFW),Eglin AFB/Destin-Ft Walton Beach (KVPS),Fri 09:47AM CDT,Fri 11:11AM CDT,01:30:00,1h 49m
130,APG288,A320,Don Muang Int'l (Old Bangkok Int'l) (DMK / VTBD),Manila Int'l (MNL / RPLL),Fri 09:47PM +07,Sat 01:56AM PST,03:00:00,2h 53m
131,TAR722,A320,Tunis-Carthage Int'l (TUN / DTTA),Paris Orly (ORY / LFPO),Fri 03:47PM CET,Fri 05:52PM CET,02:05:00,2h 29m
132,VTI590,A320,Manohar International Airport (GOX / VOGA),,,,,
133,GBB124,A320,Cape Town Int'l (CPT / FACT),OR Tambo Int'l (JNB / FAOR),Fri 04:47PM SAST,Fri 05:50PM SAST,01:13:00,1h 3m
134,AFL1214,A320,Sheremetyevo Int'l (SVO / UUEE),Kurumoch (KUF / UWWW),Fri 05:47PM MSK,Fri 08:17PM +04,01:30:00,1h 35m
135,EZY5108,A320,Barcelona Int'l (BCN / LEBL),Berlin-Brandenburg (BER / EDDB),Fri 03:47PM CET,Fri 05:49PM CET,02:11:00,2h 56m
136,CBJ5158,A320,Kunming Changshui Int'l (KMG / ZPPP),Hangzhou Xiaoshan Int'l (HGH / ZSHC),Fri 10:47PM CST,Sat 01:03AM CST,02:16:00,2h 5m
137,AAY354,A320,Orlando Sanford Intl (KSFB),Nashville Intl (KBNA),Fri 10:47AM EDT,Fri 11:14AM CDT,01:26:00,1h 44m
138,JBU173,A320,Fort Lauderdale Intl (KFLL),Punta Cana Int'l (PUJ / MDPC),Fri 10:47AM EDT,Fri 12:33PM AST,02:13:00,1h 55m
139,UAL764,A320,Chicago O'Hare Intl (KORD),Calgary Int'l (CYYC),Fri 09:47AM CDT,Fri 12:04PM MDT,03:30:00,3h 20m
140,CES6581,A320,Shanghai Pudong Int'l (PVG / ZSPD),Hefei Xinqiao Airport (HFE / ZSOF),Fri 10:47PM CST,Fri 11:49PM CST,01:01:00,0h 48m
141,CSN8071,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:47PM CST,Sat 02:30AM +08,03:39:00,3h 41m
142,EWG9801,A320,Orio al Serio Int'l (BGY / LIME),,Fri 03:46PM CET,,,
143,EIN168,A320,Dublin Int'l (DUB / EIDW),London Heathrow (LHR / EGLL),Fri 02:46PM GMT,Fri 03:27PM GMT,00:47:00,1h 5m
144,VLG8715,A320,Vienna Int'l (Schwechat) (VIE / LOWW),Barcelona Int'l (BCN / LEBL),Fri 03:46PM CET,Fri 05:55PM CET,02:05:00,1h 49m
145,JBU2357,A320,Newark Liberty Intl (KEWR),Sangster Int'l (MBJ / MKJS),Fri 10:46AM EDT,Fri 01:05PM EST,03:48:00,4h 24m
146,VIV3045,A320,General Heriberto Jara Int'l (VER / MMVR),,,,,
147,VTI809,A320,Indira Gandhi Int'l (DEL / VIDP),Bengaluru Int'l (BLR / VOBL),Fri 08:16PM IST,Fri 10:36PM IST,02:25:00,2h 7m
148,THA121,A320,Chiang Mai Int'l (CNX / VTCC),Suvarnabhumi Bangkok Int'l (BKK / VTBS),Fri 09:46PM +07,Fri 10:46PM +07,01:00:00,1h 22m
149,VLG3220,A320,Barcelona Int'l (BCN / LEBL),Tenerife South (Reina Sofia) (TFS / GCTS),Fri 03:46PM CET,Fri 06:15PM WET,03:15:00,4h 0m
150,CSZ8760,A320,Yibin (YBP / ZUYB),Quanzhou Jinjiang (JJN / ZSQZ),Fri 10:46PM CST,Sat 12:39AM CST,02:06:00,2h 36m
151,CSC8738,A320,Guangzhou Baiyun Int'l (CAN / ZGGG),Chengdu Shuangliu Int'l (CTU / ZUUU),Fri 10:46PM CST,Sat 12:52AM CST,02:05:00,2h 40m
152,SJV745,A320,Ngurah Rai/Bali Intl (DPS / WADD),,,,,
153,EIN507,A320,Bordeaux-Merignac (BOD / LFBD),Dublin Int'l (DUB / EIDW),Fri 03:45PM CET,Fri 04:10PM GMT,01:40:00,1h 46m
154,TAP1015,A320,Adolfo Suárez Madrid-Barajas (MAD / LEMD),General Humberto Delgado Airport (LIS / LPPT),Fri 03:45PM CET,Fri 03:24PM WET,01:03:00,0h 55m
155,VOE2038,A320,Lyon (LYS / LFLL),Václav Havel Airport (PRG / LKPR),Fri 03:45PM CET,Fri 05:00PM CET,01:20:00,1h 51m
156,VOE1134,A320,Olbia-Costa Smeralda (OLB / LIEO),,,,,
157,ARE4061,A320,El Dorado Int'l (BOG / SKBO),Alfonso Bonilla Aragon Int'l (CLO / SKCL),Fri 09:45AM -05,Fri 10:32AM -05,00:47:00,0h 37m
158,AXM720,A320,Singapore Changi (SIN / WSSS),Kuala Lumpur Int'l (KUL / WMKK),Fri 10:45PM +08,Fri 11:25PM +08,00:50:00,1h 3m
159,DKH1076,A320,Qingdao Jiaodong Int'l (TAO / ZSQD),Shanghai Pudong Int'l (PVG / ZSPD),Fri 10:45PM CST,Fri 11:53PM CST,01:10:00,1h 49m
